0.3	-0.12	0.675
0.3	-0.11	0.675
0.3	-0.1	0.675
0.3	-0.09	0.675
0.3	-0.08	0.675
0.3	-0.07	0.675
0.3	-0.06	0.675
0.3	-0.05	0.675
0.3	-0.04	0.675
0.3	-0.03	0.675
0.3	-0.02	0.675
0.3	-0.01	0.675
0.3	0	0.675
0.3	0.01	0.675
0.3	0.02	0.675
0.3	0.03	0.675
0.3	0.04	0.675
0.3	0.05	0.675
0.3	0.06	0.675
0.3	0.07	0.675
0.3	0.08	0.675
0.3	0.09	0.675
0.3	0.1	0.675
0.3	0.11	0.675
0.3	0.12	0.675
0.3	0.13	0.675
0.3	0.13	0.6725
0.3	0.13	0.6675
0.3	0.13	0.6625
0.3	0.13	0.6575
0.3	0.13	0.6525
0.3	0.13	0.6475
0.3	0.13	0.6425
0.3	0.13	0.6375
0.3	0.13	0.6325
0.3	0.13	0.6275
0.3	0.13	0.6225
0.3	0.13	0.6175
0.3	0.13	0.6125
0.3	0.13	0.6075
0.3	0.13	0.6025
0.3	0.13	0.5975
0.3	0.13	0.5925
0.3	0.13	0.5875
0.3	0.13	0.5825
0.3	0.13	0.5775
0.3	0.13	0.5725
0.3	0.13	0.5675
0.3	0.13	0.5625
0.3	0.13	0.5575
0.3	0.13	0.5525
0.3	0.12	0.55
0.3	0.11	0.55
0.3	0.1	0.55
0.3	0.09	0.55
0.3	0.08	0.55
0.3	0.07	0.55
0.3	0.06	0.55
0.3	0.05	0.55
0.3	0.04	0.55
0.3	0.03	0.55
0.3	0.02	0.55
0.3	0.01	0.55
0.3	0	0.55
0.3	-0.01	0.55
0.3	-0.02	0.55
0.3	-0.03	0.55
0.3	-0.04	0.55
0.3	-0.05	0.55
0.3	-0.06	0.55
0.3	-0.07	0.55
0.3	-0.08	0.55
0.3	-0.09	0.55
0.3	-0.1	0.55
0.3	-0.11	0.55
0.3	-0.12	0.55
0.3	-0.12	0.555
0.3	-0.12	0.56
0.3	-0.12	0.565
0.3	-0.12	0.57
0.3	-0.12	0.575
0.3	-0.12	0.58
0.3	-0.12	0.585
0.3	-0.12	0.59
0.3	-0.12	0.595
0.3	-0.12	0.6
0.3	-0.12	0.605
0.3	-0.12	0.61
0.3	-0.12	0.615
0.3	-0.12	0.62
0.3	-0.12	0.625
0.3	-0.12	0.63
0.3	-0.12	0.635
0.3	-0.12	0.64
0.3	-0.12	0.645
0.3	-0.12	0.65
0.3	-0.12	0.655
0.3	-0.12	0.66
0.3	-0.12	0.665
0.3	-0.12	0.67
0.3	-0.12	0.675
